Number;Measure;Time
35;27.5402;10:54:55
49;27.5988;10:54:55
51;27.5402;10:54:55
1;27.5988;10:54:56
3;27.5402;10:54:56
17;27.5988;10:54:56
19;27.5402;10:54:56
33;27.5988;10:54:56
35;27.5402;10:54:56
49;27.5988;10:54:56
51;27.5206;10:54:56
1;27.5988;10:54:57
3;27.5402;10:54:57
17;27.5988;10:54:57
19;27.5206;10:54:57
33;27.5988;10:54:57
35;27.5206;10:54:57
49;27.5988;10:54:57
51;27.5402;10:54:57
1;27.5988;10:54:58
3;27.5206;10:54:58
17;27.5988;10:54:58
19;27.5402;10:54:58
33;27.5988;10:54:58
35;27.5206;10:54:58
49;27.5988;10:54:58
51;27.5402;10:54:58
1;27.5988;10:54:59
3;27.5206;10:54:59
17;27.5988;10:54:59
19;27.5206;10:54:59
33;27.5988;10:54:59
35;27.5402;10:54:59
49;27.5988;10:54:59
51;27.5206;10:54:59
1;27.5988;10:55:00
3;27.5206;10:55:00
17;27.5793;10:55:00
19;27.5206;10:55:00
33;27.5988;10:55:00
35;27.5402;10:55:00
49;27.5793;10:55:00
51;27.5206;10:55:00
1;27.5793;10:55:01
3;27.5206;10:55:01
17;27.5988;10:55:01
19;27.5206;10:55:01
33;27.5793;10:55:01
35;27.5206;10:55:01
49;27.5793;10:55:01
51;27.5402;10:55:01
1;27.5793;10:55:02
3;27.5206;10:55:02
17;27.5793;10:55:02
19;27.5206;10:55:02
33;27.5793;10:55:02
35;27.5206;10:55:02
49;27.5793;10:55:02
51;27.5206;10:55:02
1;27.5793;10:55:04
3;27.5206;10:55:04
17;27.5793;10:55:04
19;27.5206;10:55:04
33;27.5793;10:55:04
35;27.5206;10:55:04
49;27.5793;10:55:04
51;27.5206;10:55:04
1;27.5793;10:55:05
3;27.5402;10:55:05
17;27.5793;10:55:05
19;27.5206;10:55:05
33;27.5793;10:55:05
35;27.5206;10:55:05
49;27.5793;10:55:05
51;27.5206;10:55:05
1;27.5793;10:55:06
3;27.5402;10:55:06
17;27.5793;10:55:06
19;27.5206;10:55:06
33;27.5793;10:55:06
35;27.5206;10:55:06
49;27.5793;10:55:06
51;27.5206;10:55:06
1;27.5793;10:55:07
3;27.5206;10:55:07
17;27.5793;10:55:07
19;27.5206;10:55:07
33;27.5988;10:55:07
35;27.5206;10:55:07
49;27.5988;10:55:07
51;27.5206;10:55:07
1;27.5793;10:55:08
3;27.5206;10:55:08
17;27.5793;10:55:08
19;27.5206;10:55:08
33;27.5988;10:55:08
35;27.5206;10:55:08
49;27.5793;10:55:08
51;27.5206;10:55:08
1;27.5793;10:55:09
3;27.5206;10:55:09
17;27.5793;10:55:09
19;27.5206;10:55:09
33;27.5793;10:55:09
35;27.5206;10:55:09
49;27.5793;10:55:09
51;27.5206;10:55:09
65;27.5988;10:55:09
67;27.5206;10:55:09
1;27.5793;10:55:10
3;27.5206;10:55:10
17;27.5597;10:55:10
19;27.5206;10:55:10
33;27.5793;10:55:10
35;27.5206;10:55:10
49;27.5793;10:55:10
51;27.5206;10:55:10
1;27.5597;10:55:11
3;27.5206;10:55:11
17;27.5793;10:55:11
19;27.5206;10:55:11
33;27.5793;10:55:11
35;27.5206;10:55:11
49;27.5793;10:55:11
51;27.5206;10:55:11
1;27.5793;10:55:12
3;27.5206;10:55:12
17;27.5597;10:55:12
19;27.5206;10:55:12
33;27.5793;10:55:12
35;27.5206;10:55:12
49;27.5597;10:55:12
51;27.5206;10:55:12
1;27.5793;10:55:13
3;27.5206;10:55:13
17;27.5597;10:55:13
19;27.5206;10:55:13
33;27.5793;10:55:13
35;27.5206;10:55:13
49;27.5597;10:55:13
51;27.5206;10:55:13
1;27.5597;10:55:14
3;27.5206;10:55:14
17;27.5597;10:55:14
19;27.5206;10:55:14
33;27.5597;10:55:14
35;27.501;10:55:14
49;27.5597;10:55:14
51;27.5206;10:55:14
1;27.5793;10:55:15
3;27.501;10:55:15
17;27.5597;10:55:15
19;27.501;10:55:15
33;27.5597;10:55:15
35;27.5206;10:55:15
49;27.5793;10:55:15
51;27.501;10:55:15
1;27.5597;10:55:16
3;27.501;10:55:16
17;27.5597;10:55:16
19;27.501;10:55:16
33;27.5597;10:55:16
35;27.501;10:55:16
49;27.5597;10:55:16
51;27.501;10:55:16
1;27.5597;10:55:17
3;27.501;10:55:17
17;27.5597;10:55:17
19;27.501;10:55:17
33;27.5597;10:55:17
35;27.501;10:55:17
49;27.5597;10:55:17
51;27.501;10:55:17
1;27.5597;10:55:18
3;27.501;10:55:18
17;27.5597;10:55:18
19;27.4815;10:55:18
33;27.5597;10:55:18
35;27.501;10:55:18
49;27.5597;10:55:18
51;27.501;10:55:18
1;27.5597;10:55:19
3;27.501;10:55:19
17;27.5597;10:55:19
19;27.501;10:55:19
33;27.5597;10:55:19
35;27.501;10:55:19
49;27.5597;10:55:19
51;27.4815;10:55:19
1;27.5597;10:55:20
3;27.4815;10:55:20
17;27.5597;10:55:20
19;27.4815;10:55:20
33;27.5597;10:55:20
35;27.501;10:55:20
49;27.5597;10:55:20
51;27.4815;10:55:20
1;27.5597;10:55:21
3;27.4815;10:55:21
17;27.5597;10:55:21
19;27.501;10:55:21
33;27.5597;10:55:21
35;27.4815;10:55:21
49;27.5597;10:55:21
51;27.4815;10:55:21
1;27.5597;10:55:22
3;27.4815;10:55:22
17;27.5597;10:55:22
19;27.501;10:55:22
33;27.5597;10:55:22
35;27.501;10:55:22
49;27.5597;10:55:22
51;27.4815;10:55:22
1;27.5597;10:55:23
3;27.501;10:55:23
17;27.5597;10:55:23
19;27.4815;10:55:23
33;27.5597;10:55:23
35;27.4815;10:55:23
49;27.5597;10:55:23
51;27.501;10:55:23
1;27.5597;10:55:24
3;27.4815;10:55:24
17;27.5597;10:55:24
19;27.4815;10:55:24
33;27.5597;10:55:24
35;27.4815;10:55:24
49;27.5597;10:55:24
51;27.4815;10:55:24
65;27.5402;10:55:24
67;27.4815;10:55:24
1;27.5597;10:55:25
3;27.4815;10:55:25
17;27.5402;10:55:25
19;27.4815;10:55:25
33;27.5597;10:55:25
35;27.501;10:55:25
49;27.5402;10:55:25
51;27.4815;10:55:25
1;27.5597;10:55:26
3;27.4815;10:55:26
17;27.5597;10:55:26
19;27.4815;10:55:26
33;27.5597;10:55:26
35;27.4815;10:55:26
49;27.5402;10:55:26
51;27.501;10:55:26
1;27.5597;10:55:27
3;27.4815;10:55:27
17;27.5402;10:55:27
19;27.4815;10:55:27
33;27.5402;10:55:27
35;27.4815;10:55:27
49;27.5402;10:55:27
51;27.4619;10:55:27
1;27.5597;10:55:28
3;27.4815;10:55:28
17;27.5402;10:55:28
19;27.4815;10:55:28
33;27.5402;10:55:28
35;27.4815;10:55:28
49;27.5597;10:55:28
51;27.4619;10:55:28
1;27.5402;10:55:29
3;27.4619;10:55:29
17;27.5402;10:55:29
19;27.4815;10:55:29
33;27.5402;10:55:29
35;27.4619;10:55:29
49;27.5597;10:55:29
51;27.4815;10:55:29
1;27.5597;10:55:30
3;27.4619;10:55:30
17;27.5402;10:55:30
19;27.4815;10:55:30
33;27.5402;10:55:30
35;27.4619;10:55:30
49;27.5597;10:55:30
51;27.4619;10:55:30
1;27.5402;10:55:31
3;27.4815;10:55:31
17;27.5597;10:55:31
19;27.4619;10:55:31
33;27.5402;10:55:31
35;27.4619;10:55:31
49;27.5597;10:55:31
51;27.4619;10:55:31
1;27.5402;10:55:32
3;27.4815;10:55:32
17;27.5402;10:55:32
19;27.4619;10:55:32
33;27.5597;10:55:32
35;27.4619;10:55:32
49;27.5402;10:55:32
51;27.4619;10:55:32
1;27.5402;10:55:33
3;27.4619;10:55:33
17;27.5402;10:55:33
19;27.4619;10:55:33
33;27.5402;10:55:33
35;27.4619;10:55:33
49;27.5402;10:55:33
51;27.4619;10:55:33
1;27.5402;10:55:34
3;27.4619;10:55:34
17;27.5402;10:55:34
19;27.4619;10:55:34
33;27.5402;10:55:34
35;27.4619;10:55:34
49;27.5206;10:55:34
51;27.4619;10:55:34
1;27.5402;10:55:35
3;27.4619;10:55:35
17;27.5402;10:55:35
19;27.4619;10:55:35
33;27.5402;10:55:35
35;27.4619;10:55:35
49;27.5402;10:55:35
51;27.4619;10:55:35
1;27.5402;10:55:36
3;27.4619;10:55:36
17;27.5402;10:55:36
19;27.4619;10:55:36
33;27.5206;10:55:36
35;27.4619;10:55:36
49;27.5402;10:55:36
51;27.4619;10:55:36
1;27.5402;10:55:37
3;27.4619;10:55:37
17;27.5402;10:55:37
19;27.4619;10:55:37
33;27.5206;10:55:37
35;27.4619;10:55:37
49;27.5206;10:55:37
51;27.4619;10:55:37
1;27.5206;10:55:38
3;27.4619;10:55:38
17;27.5206;10:55:38
19;27.4619;10:55:38
33;27.5206;10:55:38
35;27.4619;10:55:38
49;27.5206;10:55:38
51;27.4423;10:55:38
1;27.5206;10:55:39
3;27.4619;10:55:39
17;27.5402;10:55:39
19;27.4423;10:55:39
33;27.5206;10:55:39
35;27.4423;10:55:39
49;27.5206;10:55:39
51;27.4619;10:55:39
1;27.501;10:55:40
3;27.4423;10:55:40
17;27.5206;10:55:40
19;27.4619;10:55:40
33;27.5206;10:55:40
35;27.4423;10:55:40
49;27.5206;10:55:40
51;27.4423;10:55:40
65;27.5206;10:55:40
67;27.4619;10:55:40
1;27.5206;10:55:41
3;27.4423;10:55:41
17;27.5206;10:55:41
19;27.4423;10:55:41
33;27.5206;10:55:41
35;27.4423;10:55:41
49;27.5206;10:55:41
51;27.4619;10:55:41
1;27.5206;10:55:42
3;27.4423;10:55:42
17;27.5206;10:55:42
19;27.4423;10:55:42
33;27.5206;10:55:42
35;27.4423;10:55:42
49;27.501;10:55:42
51;27.4423;10:55:42
1;27.5206;10:55:43
3;27.4423;10:55:43
17;27.501;10:55:43
19;27.4228;10:55:43
33;27.5206;10:55:43
35;27.4423;10:55:43
49;27.5206;10:55:43
51;27.4423;10:55:43
1;27.501;10:55:44
3;27.4228;10:55:44
17;27.5206;10:55:44
19;27.4423;10:55:44
33;27.501;10:55:44
35;27.4423;10:55:44
49;27.5206;10:55:44
51;27.4423;10:55:44
1;27.501;10:55:45
3;27.4423;10:55:45
17;27.501;10:55:45
19;27.4423;10:55:45
33;27.501;10:55:45
35;27.4423;10:55:45
49;27.5206;10:55:45
51;27.4423;10:55:45
1;27.501;10:55:46
3;27.4423;10:55:46
17;27.501;10:55:46
19;27.4423;10:55:46
33;27.501;10:55:46
35;27.4423;10:55:46
49;27.501;10:55:46
51;27.4423;10:55:46
1;27.5206;10:55:47
3;27.4423;10:55:47
17;27.501;10:55:47
19;27.4228;10:55:47
33;27.501;10:55:47
35;27.4423;10:55:47
49;27.501;10:55:47
51;27.4423;10:55:47
1;27.501;10:55:48
3;27.4228;10:55:48
17;27.501;10:55:48
19;27.4423;10:55:48
33;27.501;10:55:48
35;27.4228;10:55:48
49;27.501;10:55:48
51;27.4423;10:55:48
1;27.501;10:55:49
3;27.4228;10:55:49
17;27.501;10:55:49
19;27.4423;10:55:49
33;27.501;10:55:49
35;27.4228;10:55:49
49;27.501;10:55:49
51;27.4423;10:55:49
1;27.501;10:55:50
3;27.4228;10:55:50
17;27.501;10:55:50
19;27.4423;10:55:50
33;27.501;10:55:50
35;27.4228;10:55:50
49;27.501;10:55:50
51;27.4423;10:55:50
1;27.501;10:55:51
3;27.4423;10:55:51
17;27.501;10:55:51
19;27.4228;10:55:51
33;27.501;10:55:51
35;27.4423;10:55:51
49;27.501;10:55:51
51;27.4228;10:55:51
1;27.501;10:55:52
3;27.4228;10:55:52
17;27.501;10:55:52
19;27.4228;10:55:52
33;27.501;10:55:52
35;27.4228;10:55:52
49;27.501;10:55:52
51;27.4423;10:55:52
1;27.501;10:55:53
3;27.4228;10:55:53
17;27.501;10:55:53
19;27.4228;10:55:53
33;27.501;10:55:53
35;27.4423;10:55:53
49;27.501;10:55:53
51;27.4228;10:55:53
1;27.501;10:55:54
3;27.4228;10:55:54
17;27.501;10:55:54
19;27.4228;10:55:54
33;27.501;10:55:54
35;27.4228;10:55:54
49;27.501;10:55:54
51;27.4228;10:55:54
1;27.501;10:55:55
3;27.4228;10:55:55
17;27.501;10:55:55
19;27.4228;10:55:55
33;27.4815;10:55:55
35;27.4228;10:55:55
49;27.501;10:55:55
51;27.4228;10:55:55
65;27.501;10:55:55
67;27.4228;10:55:55
1;27.501;10:55:56
3;27.4228;10:55:56
17;27.501;10:55:56
19;27.4228;10:55:56
33;27.501;10:55:56
35;27.4228;10:55:56
49;27.501;10:55:56
51;27.4228;10:55:56
1;27.4815;10:55:57
3;27.4228;10:55:57
17;27.501;10:55:57
19;27.4228;10:55:57
33;27.4815;10:55:57
35;27.4228;10:55:57
49;27.501;10:55:57
51;27.4228;10:55:57
1;27.4815;10:55:58
3;27.4228;10:55:58
17;27.501;10:55:58
19;27.4228;10:55:58
33;27.4815;10:55:58
35;27.4228;10:55:58
49;27.501;10:55:58
51;27.4228;10:55:58
1;27.4815;10:55:59
3;27.4228;10:55:59
17;27.4815;10:55:59
19;27.4228;10:55:59
33;27.4815;10:55:59
35;27.4228;10:55:59
49;27.4815;10:55:59
51;27.4228;10:55:59
1;27.4815;10:56:00
3;27.4228;10:56:00
17;27.4815;10:56:00
19;27.4228;10:56:00
33;27.4619;10:56:00
35;27.4228;10:56:00
49;27.4619;10:56:00
51;27.4228;10:56:00
1;27.4815;10:56:01
3;27.4228;10:56:01
17;27.4815;10:56:01
19;27.4032;10:56:01
33;27.4815;10:56:01
35;27.4228;10:56:01
49;27.4815;10:56:01
51;27.4228;10:56:01
1;27.4815;10:56:02
3;27.4228;10:56:02
17;27.4815;10:56:02
19;27.4032;10:56:02
33;27.4815;10:56:02
35;27.4032;10:56:02
49;27.4815;10:56:02
51;27.4032;10:56:02
1;27.4815;10:56:03
3;27.4032;10:56:03
17;27.4815;10:56:03
19;27.4032;10:56:03
33;27.4815;10:56:03
35;27.4032;10:56:03
49;27.4815;10:56:03
51;27.4228;10:56:03
1;27.4619;10:56:04
3;27.4032;10:56:04
17;27.4815;10:56:04
19;27.4032;10:56:04
33;27.4815;10:56:04
35;27.4032;10:56:04
49;27.4815;10:56:04
51;27.4032;10:56:04
1;27.4815;10:56:06
3;27.4032;10:56:06
17;27.4815;10:56:06
19;27.4032;10:56:06
33;27.4619;10:56:06
35;27.4032;10:56:06
49;27.4815;10:56:06
51;27.4032;10:56:06
1;27.4619;10:56:07
3;27.3837;10:56:07
17;27.4619;10:56:07
19;27.4032;10:56:07
33;27.4815;10:56:07
35;27.4032;10:56:07
49;27.4619;10:56:07
51;27.4032;10:56:07
1;27.4815;10:56:08
3;27.4032;10:56:08
17;27.4815;10:56:08
19;27.4032;10:56:08
33;27.4619;10:56:08
35;27.4032;10:56:08
49;27.4815;10:56:08
51;27.3837;10:56:08
1;27.4619;10:56:09
3;27.4032;10:56:09
17;27.4815;10:56:09
19;27.3837;10:56:09
33;27.4619;10:56:09
35;27.4032;10:56:09
49;27.4815;10:56:09
51;27.3837;10:56:09
1;27.4619;10:56:10
3;27.4032;10:56:10
17;27.4619;10:56:10
19;27.3837;10:56:10
33;27.4619;10:56:10
35;27.4032;10:56:10
49;27.4815;10:56:10
51;27.4032;10:56:10
1;27.4619;10:56:11
3;27.4032;10:56:11
17;27.4815;10:56:11
19;27.4032;10:56:11
33;27.4815;10:56:11
35;27.4032;10:56:11
49;27.501;10:56:11
51;27.4228;10:56:11
1;27.501;10:56:12
3;27.4228;10:56:12
17;27.501;10:56:12
19;27.4228;10:56:12
33;27.501;10:56:12
35;27.4228;10:56:12
49;27.5206;10:56:12
51;27.4228;10:56:12
65;27.5206;10:56:12
67;27.4423;10:56:12
1;27.5402;10:56:13
3;27.4423;10:56:13
17;27.5402;10:56:13
19;27.4619;10:56:13
33;27.5597;10:56:13
35;27.4619;10:56:13
49;27.5597;10:56:13
51;27.4619;10:56:13
1;27.5597;10:56:14
3;27.4619;10:56:14
17;27.5793;10:56:14
19;27.4619;10:56:14
33;27.5597;10:56:14
35;27.4619;10:56:14
49;27.5988;10:56:14
51;27.4619;10:56:14
1;27.5988;10:56:15
3;27.4619;10:56:15
17;27.5988;10:56:15
19;27.4815;10:56:15
33;27.5988;10:56:15
35;27.4619;10:56:15
49;27.5988;10:56:15
51;27.4815;10:56:15
1;27.5988;10:56:16
3;27.4815;10:56:16
17;27.5988;10:56:16
19;27.4815;10:56:16
33;27.5988;10:56:16
35;27.501;10:56:16
49;27.6184;10:56:16
51;27.4815;10:56:16
1;27.6184;10:56:17
3;27.501;10:56:17
17;27.6184;10:56:17
19;27.4815;10:56:17
33;27.6184;10:56:17
35;27.501;10:56:17
49;27.6184;10:56:17
51;27.501;10:56:17
1;27.638;10:56:18
3;27.4815;10:56:18
17;27.638;10:56:18
19;27.501;10:56:18
33;27.6184;10:56:18
35;27.501;10:56:18
49;27.6575;10:56:18
51;27.5206;10:56:18
1;27.638;10:56:19
3;27.501;10:56:19
17;27.638;10:56:19
19;27.5206;10:56:19
33;27.6575;10:56:19
35;27.501;10:56:19
49;27.638;10:56:19
51;27.5206;10:56:19
1;27.6575;10:56:20
3;27.5206;10:56:20
17;27.6575;10:56:20
19;27.5206;10:56:20
33;27.6575;10:56:20
35;27.5206;10:56:20
49;27.6575;10:56:20
51;27.5206;10:56:20
1;27.6575;10:56:21
3;27.5206;10:56:21
17;27.6575;10:56:21
19;27.5206;10:56:21
33;27.6575;10:56:21
35;27.5206;10:56:21
49;27.6575;10:56:21
51;27.5206;10:56:21
1;27.6575;10:56:22
3;27.5206;10:56:22
17;27.6575;10:56:22
19;27.5206;10:56:22
33;27.6575;10:56:22
35;27.5206;10:56:22
49;27.6771;10:56:22
51;27.5206;10:56:22
1;27.6575;10:56:23
3;27.5206;10:56:23
17;27.6575;10:56:23
19;27.5402;10:56:23
33;27.6771;10:56:23
35;27.5206;10:56:23
49;27.6771;10:56:23
51;27.5206;10:56:23
1;27.6771;10:56:24
3;27.5402;10:56:24
17;27.6967;10:56:24
19;27.5597;10:56:24
33;27.6967;10:56:24
35;27.5402;10:56:24
49;27.6967;10:56:24
51;27.5597;10:56:24
1;27.7162;10:56:25
3;27.5597;10:56:25
17;27.7162;10:56:25
19;27.5793;10:56:25
33;27.7162;10:56:25
35;27.5597;10:56:25
49;27.7358;10:56:25
51;27.5793;10:56:25
1;27.7553;10:56:26
3;27.5793;10:56:26
17;27.7553;10:56:26
19;27.5793;10:56:26
33;27.7553;10:56:26
35;27.5793;10:56:26
49;27.7749;10:56:26
51;27.5988;10:56:26
1;27.7749;10:56:27
3;27.5793;10:56:27
17;27.7945;10:56:27
19;27.5988;10:56:27
33;27.7945;10:56:27
35;27.5988;10:56:27
49;27.7945;10:56:27
51;27.6184;10:56:27
65;27.814;10:56:27
67;27.6184;10:56:27
1;27.814;10:56:28
3;27.638;10:56:28
17;27.814;10:56:28
19;27.638;10:56:28
33;27.814;10:56:28
35;27.638;10:56:28
49;27.814;10:56:28
51;27.638;10:56:28
1;27.814;10:56:29
3;27.638;10:56:29
17;27.8336;10:56:29
19;27.638;10:56:29
33;27.8336;10:56:29
35;27.638;10:56:29
49;27.8336;10:56:29
51;27.638;10:56:29
1;27.8336;10:56:30
3;27.638;10:56:30
17;27.8336;10:56:30
19;27.638;10:56:30
33;27.8532;10:56:30
35;27.638;10:56:30
49;27.8336;10:56:30
51;27.638;10:56:30
1;27.8532;10:56:31
3;27.638;10:56:31
17;27.8532;10:56:31
19;27.638;10:56:31
33;27.8532;10:56:31
35;27.638;10:56:31
49;27.8727;10:56:31
51;27.6575;10:56:31
1;27.8532;10:56:32
3;27.638;10:56:32
17;27.8727;10:56:32
19;27.638;10:56:32
33;27.8727;10:56:32
35;27.638;10:56:32
49;27.8727;10:56:32
51;27.6575;10:56:32
1;27.8727;10:56:33
3;27.638;10:56:33
17;27.8727;10:56:33
19;27.638;10:56:33
33;27.8727;10:56:33
35;27.6575;10:56:33
49;27.8727;10:56:33
51;27.6575;10:56:33
1;27.8727;10:56:34
3;27.6575;10:56:34
17;27.8727;10:56:34
19;27.6575;10:56:34
33;27.8727;10:56:34
35;27.6575;10:56:34
49;27.8727;10:56:34
51;27.6575;10:56:34
1;27.8727;10:56:35
3;27.6575;10:56:35
17;27.8727;10:56:35
19;27.6771;10:56:35
33;27.8727;10:56:35
35;27.6771;10:56:35
49;27.8727;10:56:35
51;27.6771;10:56:35
1;27.8727;10:56:36
3;27.6771;10:56:36
17;27.8923;10:56:36
19;27.6771;10:56:36
33;27.8727;10:56:36
35;27.6771;10:56:36
49;27.8923;10:56:36
51;27.6771;10:56:36
1;27.8923;10:56:37
3;27.6771;10:56:37
17;27.9118;10:56:37
19;27.6771;10:56:37
33;27.9118;10:56:37
35;27.6967;10:56:37
49;27.9314;10:56:37
51;27.6771;10:56:37
1;27.9314;10:56:38
3;27.7162;10:56:38
17;27.9314;10:56:38
19;27.6967;10:56:38
33;27.9314;10:56:38
35;27.7162;10:56:38
49;27.9705;10:56:38
51;27.7358;10:56:38
1;27.9705;10:56:39
3;27.7358;10:56:39
17;27.9705;10:56:39
19;27.7358;10:56:39
33;27.9705;10:56:39
35;27.7358;10:56:39
49;27.9901;10:56:39
51;27.7358;10:56:39
1;27.9901;10:56:40
3;27.7358;10:56:40
17;28.0097;10:56:40
19;27.7553;10:56:40
33;28.0097;10:56:40
35;27.7553;10:56:40
49;28.0097;10:56:40
51;27.7553;10:56:40
1;28.0292;10:56:41
3;27.7553;10:56:41
17;28.0292;10:56:41
19;27.7553;10:56:41
33;28.0292;10:56:41
35;27.7749;10:56:41
49;28.0292;10:56:41
51;27.7749;10:56:41
65;28.0292;10:56:41
67;27.7749;10:56:41
1;28.0292;10:56:42
3;27.7945;10:56:42
17;28.0488;10:56:42
19;27.7749;10:56:42
33;28.0292;10:56:42
35;27.7945;10:56:42
49;28.0488;10:56:42
51;27.7945;10:56:42
1;28.0488;10:56:43
3;27.7945;10:56:43
17;28.0683;10:56:43
19;27.7945;10:56:43
33;28.0488;10:56:43
35;27.7945;10:56:43
49;28.0683;10:56:43
51;27.7945;10:56:43
1;28.0488;10:56:44
3;27.7945;10:56:44
17;28.0683;10:56:44
19;27.7945;10:56:44
33;28.0683;10:56:44
35;27.7945;10:56:44
49;28.0683;10:56:44
51;27.7945;10:56:44
1;28.0683;10:56:45
3;27.7945;10:56:45
17;28.0683;10:56:45
19;27.7945;10:56:45
33;28.0683;10:56:45
35;27.814;10:56:45
49;28.0879;10:56:45
51;27.7945;10:56:45
1;28.0683;10:56:46
3;27.814;10:56:46
17;28.0879;10:56:46
19;27.814;10:56:46
33;28.0879;10:56:46
35;27.7945;10:56:46
49;28.0879;10:56:46
51;27.814;10:56:46
1;28.0879;10:56:47
3;27.814;10:56:47
17;28.0879;10:56:47
19;27.8336;10:56:47
33;28.0879;10:56:47
35;27.814;10:56:47
49;28.0879;10:56:47
51;27.814;10:56:47
1;28.0879;10:56:48
3;27.814;10:56:48
17;28.0879;10:56:48
19;27.814;10:56:48
33;28.0879;10:56:48
35;27.8336;10:56:48
49;28.0879;10:56:48
51;27.8336;10:56:48
1;28.0879;10:56:49
3;27.814;10:56:49
17;28.0879;10:56:49
19;27.8336;10:56:49
33;28.0879;10:56:49
35;27.8336;10:56:49
49;28.0879;10:56:49
51;27.8336;10:56:49
1;28.0879;10:56:50
3;27.8336;10:56:50
17;28.0879;10:56:50
19;27.8336;10:56:50
33;28.0879;10:56:50
35;27.8336;10:56:50
49;28.0879;10:56:50
51;27.8336;10:56:50
1;28.0879;10:56:51
3;27.8336;10:56:51
17;28.0879;10:56:51
19;27.8336;10:56:51
33;28.0879;10:56:51
35;27.8336;10:56:51
49;28.0879;10:56:51
51;27.8336;10:56:51
1;28.0879;10:56:52
3;27.8336;10:56:52
17;28.0879;10:56:52
19;27.814;10:56:52
33;28.0879;10:56:52
35;27.8336;10:56:52
49;28.0879;10:56:52
51;27.8336;10:56:52
1;28.0879;10:56:53
3;27.8336;10:56:53
17;28.0879;10:56:53
19;27.8336;10:56:53
33;28.0879;10:56:53
35;27.8336;10:56:53
49;28.0879;10:56:53
51;27.8336;10:56:53
1;28.0879;10:56:54
3;27.8336;10:56:54
17;28.0879;10:56:54
19;27.8336;10:56:54
33;28.0879;10:56:54
35;27.8336;10:56:54
49;28.0879;10:56:54
51;27.8336;10:56:54
1;28.0879;10:56:55
3;27.8336;10:56:55
17;28.0879;10:56:55
19;27.8336;10:56:55
33;28.0879;10:56:55
35;27.8336;10:56:55
49;28.0879;10:56:55
51;27.8336;10:56:55
1;28.0879;10:56:56
3;27.8336;10:56:56
17;28.0879;10:56:56
19;27.8336;10:56:56
33;28.0879;10:56:56
35;27.8336;10:56:56
49;28.0879;10:56:56
51;27.8336;10:56:56
65;28.0879;10:56:56
67;27.8336;10:56:56
1;28.0879;10:56:57
3;27.8336;10:56:57
17;28.0879;10:56:57
19;27.8336;10:56:57
33;28.0879;10:56:57
35;27.8336;10:56:57
49;28.0879;10:56:57
51;27.8336;10:56:57
1;28.0879;10:56:58
3;27.8336;10:56:58
17;28.0683;10:56:58
19;27.8336;10:56:58
33;28.0879;10:56:58
35;27.8336;10:56:58
49;28.0879;10:56:58
51;27.8336;10:56:58
1;28.0879;10:56:59
3;27.8336;10:56:59
17;28.0683;10:56:59
19;27.8336;10:56:59
33;28.0683;10:56:59
35;27.8336;10:56:59
49;28.0879;10:56:59
51;27.8336;10:56:59
1;28.0683;10:57:00
3;27.8336;10:57:00
17;28.0683;10:57:00
19;27.8336;10:57:00
33;28.0683;10:57:00
35;27.8336;10:57:00
49;28.0683;10:57:00
51;27.8336;10:57:00
1;28.0683;10:57:01
3;27.8336;10:57:01
17;28.0683;10:57:01
19;27.8336;10:57:01
33;28.0488;10:57:01
35;27.8336;10:57:01
49;28.0683;10:57:01
51;27.8336;10:57:01
1;28.0683;10:57:02
3;27.8336;10:57:02
17;28.0683;10:57:02
19;27.8336;10:57:02
33;28.0683;10:57:02
35;27.8336;10:57:02
49;28.0488;10:57:02
51;27.8336;10:57:02
1;28.0683;10:57:03
3;27.8336;10:57:03
17;28.0683;10:57:03
19;27.8336;10:57:03
33;28.0683;10:57:03
35;27.8336;10:57:03
49;28.0488;10:57:03
51;27.8336;10:57:03
1;28.0683;10:57:05
3;27.8336;10:57:05
17;28.0488;10:57:05
19;27.8336;10:57:05
33;28.0488;10:57:05
35;27.8336;10:57:05
49;28.0488;10:57:05
51;27.8336;10:57:05
1;28.0488;10:57:06
3;27.8336;10:57:06
17;28.0488;10:57:06
19;27.8336;10:57:06
33;28.0488;10:57:06
35;27.8336;10:57:06
49;28.0292;10:57:06
51;27.8336;10:57:06
1;28.0488;10:57:07
3;27.8336;10:57:07
17;28.0292;10:57:07
19;27.8336;10:57:07
33;28.0488;10:57:07
35;27.8336;10:57:07
49;28.0292;10:57:07
51;27.8336;10:57:07
1;28.0488;10:57:08
3;27.8336;10:57:08
17;28.0488;10:57:08
19;27.8336;10:57:08
33;28.0292;10:57:08
35;27.8336;10:57:08
49;28.0488;10:57:08
51;27.8336;10:57:08
1;28.0292;10:57:09
3;27.8336;10:57:09
17;28.0488;10:57:09
19;27.8336;10:57:09
33;28.0292;10:57:09
35;27.8336;10:57:09
49;28.0292;10:57:09
51;27.8336;10:57:09
1;28.0292;10:57:10
3;27.8336;10:57:10
17;28.0292;10:57:10
19;27.8336;10:57:10
33;28.0292;10:57:10
35;27.8336;10:57:10
49;28.0292;10:57:10
51;27.8336;10:57:10
1;28.0292;10:57:11
3;27.8336;10:57:11
17;28.0292;10:57:11
19;27.8336;10:57:11
33;28.0292;10:57:11
35;27.8336;10:57:11
49;28.0292;10:57:11
51;27.8336;10:57:11
1;28.0292;10:57:12
3;27.8336;10:57:12
17;28.0292;10:57:12
